recipe_name;recipe_url;recipe_image;ingredients;raw_ingredients;instructions
Cheesy Chicken Croissant;http://www.pinkwhen.com/cheesy-chicken-croissant-recipe/;https://spoonacular.com/recipeImages/cheesy-chicken-croissant-715536.jpg;1 package large croissants,1/4 lb. Monterrey Jack cheese,1 (8oz) package 1/3 less fat cream cheese,1 package oven roasted chicken strips;croissants,jack cheese,low-fat cream cheese,Oven Roasted Chicken Breast;Heat your oven to 350. In a pan on your stove, warm and mix together the chicken, cream cheese, and monterrey jack cheese. While these are melting and mixing together, unroll your croissants from the package. Place two tablespoons of the chicken recipe onto the large end of the croissant, and then roll. Continue until you have all of the croissants rolled together.Bake in the oven for 13-15 minutes, or until croissants are light and flaky. Serve warm.Let me know what you think about this recipe. I love it, and it is great for pairing with a soup for lunch, or change it up and add ham or bacon for a breakfast version!JOIN 500,000 SUBSCRIBERS!Join over 500,000 others who follow PinkWhen on Social Media, the PinkWhen blog, and email. Sign up to receive exclusive bonuses like this FREE Simple Fit Dinners Ebook.Don't wait! You won't want to miss a thing.Success! Now check your email to confirm your subscription and download your FREE ebook.There was an error submitting your subscription. Please try again.First NameEmail AddressSubscribePowered by ConvertKit
BBQ” Style Chicken Thighs;http://www.foodista.com/recipe/CS3MK3L2/bbq-style-chicken-thighs;https://spoonacular.com/recipeImages/BBQ-Style-Chicken-Thighs-634511.jpg;¼ tsp. black pepper,6 chicken thighs with bone in,1 tsp. brown sugar,½ tsp. garlic powder,¼ cup ketchup,1 tablespoon lemon juice or vinegar,¼ tsp. salt,1 tablespoon soy sauce,1 tablespoon Worcestershire sauce;black pepper,bone in chicken thighs,brown sugar,garlic powder,ketchup,lemon juice,salt,soy sauce,worcestershire sauce;<ol><li>Preheat Oven 350 degrees:</li><li>Combine all of the ingredients for the bbq sauce in a small bowl.</li><li>Clean and pat dry the chicken thighs.</li><li>Place in a baking dish and rub the chicken thighs all over with the sauce.</li><li>Place in oven and bake for 40-45 minutes.</li></ol>
Cranberry Margarita;http://www.foodista.com/recipe/3QPRFFL5/cranberry-margarita;https://spoonacular.com/recipeImages/Cranberry-Margarita-640383.jpg;light Karo syrup,16 ounces package of fresh cranberries,3 ounces of Grand Marnier,1 cup freshly squeezed orange juice, about 9 oranges,1 cup sugar,9 ounce of your favorite tequila;rice syrup,cranberries,grand marnier,orange juice,sugar,tequila;<ol><li>In a saucepan over medium heat, melt the cup of sugar in the orange juice. Add the cranberries, reserving some for the skewers, and cook over low heat for 10 minutes. Set aside and let it cool. Blend cranberries in a blender, then strain to make the puree</li><li>In a shaker add crushed ice, 1 1/2 ounces of tequila, 1/2 ounce of Grand Marnier, 2 ounces of cranberry puree and shake to mix.</li><li>Skewer several cranberries onto 10 skewer sticks but leave enough skewer exposed on one end. Lightly brush each cranberry skewer with Karo syrup and then sprinkle extra sugar over the cranberry skewers. Place the cranberry swizzle sticks on wax paper and place in the freezer to set.</li><li>Pour drink into a sugar rimmed martini glass. Add a cranberry swizzle stick for garnish.</li><li>Note: nutritional information does not include sugar on the rim.</li></ol>
Authentic Biscochitos;http://www.foodista.com/recipe/DRZDGXTQ/authentic-biscochitos;https://spoonacular.com/recipeImages/Authentic-Biscochitos-633067.jpg;3 cups all purpose flour,1 teaspoon anise seeds,1 teaspoon baking powder,1/4 cup brandy or rum (I used dark rum),1/4 teaspoon cinnamon,1 egg,1 cup lard,1 teaspoon salt,1/2 cup sugar,2 teaspoons vanilla extract;all purpose flour,anise,baking powder,brandy,cinnamon,egg,lard,salt,sugar,vanilla extract;<ol><li>In stand mixer, cream together lard and sugar on medium speed until fluffy. With mixer running on low, add egg, vanilla extract, brandy, and anise seeds and mix until homogeneous. Add flour, salt, and baking powder and mix just until dough forms into cohesive ball.</li><li>Form dough into two cylinders about 1 1/2 to 2 inches in diameter. Chill for 2 hours or wrap tightly in plastic wrap and store in refrigerator for up to 3 days. For longer storage, freeze logs tightly wrapped for several months. Defrost in refrigerator for 1 day before using.</li><li>Adjust oven rack to middle position and preheat oven to 350F. Combine sugar and cinnamon in small bowl and set aside. Cut cylinders into 1/4 inch disks and on ungreased cookie sheets leaving 1/2-inch gap between cookies. Bake until golden brown, about 12 minutes.</li><li>Dip rim of each cookie into cinnamon sugar mixture. Let cool on racks and store at room temperature in air-tight container for up to 5 days.</li></ol>
5 Minute Gluten Free Wonder Buns;http://www.foodista.com/recipe/BLVF5K5Y/5-minute-gluten-free-wonder-buns;https://spoonacular.com/recipeImages/5-Minute-Gluten-Free-Wonder-Buns-631874.jpg;1 tablespoon almond meal,1/2 teaspoon baking powder,1/2 teaspoon cocoa powder,1 large egg,1 tablespoon ground flax seed,3/4 teaspoon molasses,a pinch of salt, optional,Sesame seeds,2 tablespoons sorghum flour;almond meal,baking powder,cocoa powder,egg,ground flax seed,molasses,salt,sesame seeds,sorghum flour;<ol><li>In  a small bowl, beat the egg and molasses.</li><li>In another small bowl, add the flour, almond meal, ground flax seed, baking powder, and cocoa powder. Make sure it is thoroughly mixed so you do not end up with little balls of cocoa or bitter baking soda.</li><li>Add the eggs to the dry ingredients, stir until smooth.</li><li>Oil a 10 oz Pyrex custard cup and sprinkle sesame seeds on the bottom and sides.</li><li>Pour the batter into the cup. Top with more sesame seeds.</li><li>Microwave for 90 seconds.</li><li>That is it! A ready to eat, tasty bun. A wonder bun!</li></ol>
Banana, Cranberry and Apple Bread;http://www.foodista.com/recipe/KH5RVCPK/banana-cranberry-and-apple-bread;https://spoonacular.com/recipeImages/Banana--Cranberry-and-Apple-Bread-634213.jpg;1 1/2 teaspoons baking powder,1 1/2 teaspoons baking soda,3 large bananas – mashed - 235g skinless on,1 cup dried cranberry - 125g,2 Eggs,1 ½ cups flour (Plain flour) - 200g,1 apple – grated (green apple),1/4 cup milk,1/8 teaspoon salt,¾ cup sugar - 140g (I used 130g sugar),1 teaspoon Vanilla,½ cup + 2 tbsp vegetable oil - 100g;baking powder,baking soda,bananas,cranberry bread,eggs,flour,green apple,milk,salt,sugar,vanilla,vegetable oil;<ol><li>Line and greased a loaft pan. (I used cooking spray to grease the pan) Pre-heat the oven to 350 degree F (170 C).</li><li>In a mixing bowl, combined flour, baking powder, baking soda, salt and sugar. Mix well and set it aside.</li><li>In another mixing bowl, combined eggs, milk, oil, vanilla, grated apple and mashed bananas. Mix it well with a big spoon. Add in the dry ingredients into the eggs mixture. Mix until combined.</li><li>Lastly add in dried cranberries. Mix well and pour it into the baking pan. Bake for 70 minutes or skewer inserted into bread and comes out clean.</li></ol>
Peanut butter ice cream;http://www.foodista.com/recipe/MY45D3Z7/peanut-butter-ice-cream;https://spoonacular.com/recipeImages/Peanut-butter-ice-cream-655314.jpg;Bits of bitter chocolate, for sprinkling,3 Eggs,1 ½ cups heavy cream,1 ¼ cups milk,3/4 cup Peanuts, salted cocktail,1/3 cup smooth peanut butter,¾ cup sugar,1 tbs vanilla extract;bitter chocolate,eggs,heavy cream,milk,salted peanuts,smooth peanut butter,sugar,vanilla extract;"<ol><li>Combine milk, sugar and salt in a saucepan; cook over medium heat, stirring occasionally until mixture almost boils. Reduce heat to low.</li><li>Beat the eggs with a hand mixer or a whisk for 2 minutes until frothy.</li><li>Gradually stir about  cup of hot milk mixture into beaten eggs.</li><li>Add eggs to remaining milk mixture.</li><li>Cook over low heat, stirring constantly until slightly thickened, about 2-3 minutes. Remove from heat</li><li>Whisk in peanut butter and mix well.</li><li>Refrigerate at least 3 hours.</li><li>Combine cream, vanilla extract, and chilled mixture, stirring with a whisk.</li><li>Pour the mixture into an ice cream machine and churn until frozen. Transfer to plastic container and place in the freezer for an hour before serving.</li><li>Serving: take it out of the freezer for 5-10 minutes before serving, or longer, so it comes to the right scooping temperature. Sprinkle with chopped peanuts and chocolate bits.</li><li>Easy suggestion: ice cream is best served in chilled glass or porcelain bowls. Scoop it with a hot, but dry, ice-cream spoon (soak it in boiling water, then wipe dry).</li></ol>"
Dessert Apple Rings With Cinnamon Cream Syrup;http://www.foodista.com/recipe/DXMVKPRX/dessert-apple-rings-with-cinnamon-cream-syrup;https://spoonacular.com/recipeImages/Dessert-Apple-Rings-With-Cinnamon-Cream-Syrup-641435.jpg;1 cup all purpose flour,Canola oil for frying,1/2 tsp cinnamon,1/2 cup corn syrup,1 large egg white,6 large Granny Smith apples, peeled,1/4 teaspoon salt,1 cup sugar,1 tablespoon vanilla,1 cup water;all purpose flour,canola oil,cinnamon,corn syrup,egg,granny smith apples,salt,sugar,vanilla,water;<ol><li>Whisk egg until frothy and the whisk in water and vanilla. Whisk in flour and salt and let sit while slicing apples.</li><li>Slice peeled apples into 1/2 inch thick slices (you will get about 4 slices per apple).</li><li>Using varying sized biscuit cutters, cut rings out of apple slices, discarding smallest circle containing core.</li><li>Heat oil to 375 degrees.</li><li>Dip apple rings into batter, letting excess drip off.</li><li>Cook in oil in small batches, turning frequently to monitor browning.</li><li>When the rings turn golden brown, remove to a plate and while still hot sprinkle generously with cinnamon sugar.</li><li>Serve immediately with warm drizzled sauce.</li><li>Makes 16 apple rings  serves 4 to 6.</li><li>CINNAMON CREAM SYRUP</li><li>In a small saucepan, combine 1 cup sugar, 1/2 cup corn syrup and 1/2 teaspoon cinnamon. Bring to a boil, stirring for 3 minutes. Remove from heat and cool for 5 minutes. Stir in 1/2 cup evaporated milk. Serve warm.</li></ol>
Flank Steak with Mushroom Sauce;http://www.foodista.com/recipe/F4D23G25/flank-steak-with-mushroom-sauce;https://spoonacular.com/recipeImages/Flank-Steak-with-Mushroom-Sauce-631750.jpg;2 packets Swanson® Flavor Concentrated Beef Broth,2 tablespoons butter,1 flank steak,1 tablespoon chopped fresh rosemary leaves,4 cloves garlic, minced,8 ounces mushrooms, sliced (about 3 cups),2 tablespoons olive oil,1 shallot, diced,1/4 cup water;beef broth,butter,flank steak,fresh rosemary leaves,garlic,mushrooms,olive oil,shallot,water;<ol><li>Heat 1 tablespoon oil in a 10-inch skillet over medium heat.  Add the beef and cook until well browned on both sides and until desired doneness, about 10 minutes for medium-rare.  Remove the beef from the skillet.</li><li>Heat 1 tablespoon butter and the remaining oil in the skillet.  Add the mushrooms and cook for 5 minutes or until tender, stirring occasionally.  Add the shallot, garlic and rosemary and cook and stir for 30 seconds.   Stir in the concentrated broth, water and remaining butter and cook until the butter is melted.</li><li>Cut the beef diagonally against the grain into thin slices.  Serve the mushroom mixture with the beef.</li></ol>
Cranberry Orange Banana Bread;http://www.foodista.com/recipe/NF8TZYG4/cranberry-orange-banana-bread;https://spoonacular.com/recipeImages/Cranberry-Orange-Banana-Bread-640389.jpg;1/2 cup unsweetened applesauce,1 teaspoon Baking Powder,3 mashed very ripe bananas (approximately 1 cup),1 cup fresh or frozen cranberries, cut in half,2 eggs,1 1/2 cups Flour,1 tsp pure orange extract,1 Tbsp. Orange Zest,1/2 teaspoon Salt,1/2 cup Sugar,1 teaspoon Vanilla Extract,1/2 cup whole wheat flour;applesauce,baking powder,bananas,cranberries,eggs,flour,orange extract,orange zest,salt,sugar,vanilla extract,whole wheat flour;<ol><li>Mix together dry ingredients until well combined.</li><li>In a separate bowl, mix eggs, applesauce, vanilla extract, orange extract, orange zest and mashed bananas.</li><li>Stir banana mixture into flour mixture, and then add cranberries.</li><li>Stir carefully</li><li>Bake in a greased loaf pan or (3 mini pans for 30 minutes) for approximately one hour at 350F.</li><li>Bread is done when a toothpick comes out clean.</li></ol>
Milky Watermelon Drink;http://www.afrolems.com/2016/01/29/milky-watermelon-drink/;https://spoonacular.com/recipeImages/milky-watermelon-drink-716252.jpg;2 pieces of dates (remove the seeds),7 tablespoons of evaporated milk,1/4 teaspoon of grated ginger,1/4 cup of crushed ice.,1 cup of blended watermelon;dates,evaporated milk,ginger,ice,watermelon;Blend all ingredients together till smooth and serve chilled.P:S – If you are wondering where to buy dates, check out supermarkets or the hausa traders at a market. They are more likely to have dates. Does anyone know what dates are called in Hausa? Please leave a comment and help others
Key Lime Pie;http://www.pinkwhen.com/key-lime-pie-recipe/;https://spoonacular.com/recipeImages/key-lime-pie-715546.jpg;graham cracker crust,6 medium Limes (juiced to make ¾ cup Lime juice),1 Tbsp Lime zest (only the dark green portion),½ cup sour cream,3 cups of condensed sweetened milk,whipped cream for topping;graham cracker crust,juice of lime,lime zest,sour cream,sweetened condensed milk,whipped cream;Heat oven to 350.Mix your lime juice, condensed milk, sour cream, and lime zest in a medium bowl until creamed together well.Pour mixture into the graham cracker crust.Bake for 6 - 8 minutes in the oven, making sure that you do not brown the top of the pie.Pull your pie from the oven and allow to cool to room temp.Place in the refrigerator and allow to completely cool.When you are ready, add your whipped cream and top it with a little additional zest and serve.
Fennel and Orange Salad With Toasted Hazelnuts and Cranberries;http://www.foodista.com/recipe/4J3YBFD6/fennel-and-orange-salad-with-toasted-hazelnuts-and-cranberries;https://spoonacular.com/recipeImages/Fennel-and-Orange-Salad-With-Toasted-Hazelnuts-and-Cranberries-642660.jpg;handful of dried cranberries,1/8 cup extra virgin olive oil,1 medium fennel bulb,1/8 teaspoon fresh ground pepper,1/4 cup toasted hazelnuts,1/4 teaspoon kosher salt,1 navel orange,1/2 tablespoon orange zest,3/4 tablespoon white-wine vinegar;dried cranberries,extra virgin olive oil,fennel bulb,ground pepper,hazelnuts,kosher salt,navel orange,orange zest,white-wine vinegar;<ol><li>Finely grate enough zest from the orange to measure 1/2 tablespoon. Cut peel, including all white pith, from the orange with a paring knife. Then cut segments free from membranes.</li><li>Cut out and discard core of fennel bulb, then cut bulbs crosswise into very thin slices, as thin as you can get them.</li><li>Whisk together vinegar, zest, salt, and pepper in a small bowl until salt is dissolved, then add olive oil slowly in a stream, whisking until combined well.</li><li>Toast hazelnuts on medium heat on a dry skillet.</li><li>Toss fennel and oranges with vinaigrette in a large bowl until combined well.</li><li>Top with toasted hazelnuts and dried cranberries. Garnish with a few fennel fronds.</li></ol>
Homemade Animal Crackers;http://www.foodista.com/recipe/BPVBYNNB/homemade-animal-crackers;https://spoonacular.com/recipeImages/Homemade-Animal-Crackers-646905.jpg;1/4 tsp Allspice,1 tsp Baking Powder,1 cup Brown Sugar,1 stick Butter,1 tsp Cinnamon,2 Tbsp Cocoa Powder (Optional),1 Egg,1 1/2 cups Flour,1/2 cup Oats,1/8 tsp Salt,1 tsp Vanilla;allspice,baking powder,brown sugar,butter,cinnamon,cocoa powder,egg,flour,oats,salt,vanilla;"<ol><li>Cream together the butter and brown sugar.</li><li>Add in the egg and vanilla and combine well.</li><li>Mix in the cinnamon, allspice, and salt.</li><li>Finally, add in the baking powder, oats, flour, and optional cocoa powder. Cocoa powder should be subbed for flour. Simply add the powder to your measuring cup and then fill the rest of the way up with flour.</li><li>Mix it up good and form into a ball. Store in the fridge for a minimum of one hour and up to overnight.</li><li>When ready, pull dough from fridge, grab off a hunk and roll it out to 1/4 thick.</li><li>Cut out crackers and place on a cookie sheet lined with parchment.</li><li>Bake for 5-7 minutes in an oven preheated to 350 degrees.</li></ol>"""
Quick Chicken Enchilada Soup;http://www.foodista.com/recipe/WSQ5JZ7W/quick-chicken-enchilada-soup;https://spoonacular.com/recipeImages/Quick-Chicken-Enchilada-Soup-657579.jpg;1 (15 oz) can black beans, drained and rinsed,1 (15 oz) can of corn, drained,1 14.5-ounce can diced tomatoes (I used the kind with sweet onion in it),1 (12.5 oz) can Swanson Premium Chunk Chicken, drained and broken up,1 (10 3/4 oz) can Campbell's cream of mushroom soup,1 (10 oz) can enchilada sauce,1 1/2 cups milk (I used skim),shredded cheese,tortilla chips;canned black beans,canned corn,canned tomatoes,chicken,cream of mushroom soup,enchilada sauce,milk,shredded cheese,tortilla chips;<ol><li>In a large sauce pan, combine corn, beans, tomatoes, chicken, enchilada sauce, mushroom soup, and milk.</li><li>Cook over medium heat while stirring for 15 minutes.</li><li>Serve over tortillas chips and topped with shredded cheese.</li></ol>
Nigerian Beans Porridge and Plantain;http://www.afrolems.com/2011/11/21/recipe-for-nigerian-beans-porridge-and-plantain/;https://spoonacular.com/recipeImages/for-nigerian-beans-porridge-and-plantain-716323.jpg;1 Fresh pepper,2 cups Black Eyed Peas- Beans,1/2 Bulb of Onion,2 cooking spoons of palm oil,1 teaspoon of dry pepper,2 teaspoons of salt,3 Maggi seasoning cubes,3 Tomatoes,5 cups of water;bell pepper,black eyed peas,onion,palm oil,pepper,salt,seasoning cubes,tomatoes,water;<p>*Wash the beans (Black eyed peas) for a minute</p><p>*Pour 3 cups of water into the pot and Boil the beans</p><p>*Boil for 15 minutes and add 1 cup of water</p><p>*If the beans is not soft add the last cup of water</p><p>*When the beans has started to make a slight paste, and there is still water(but not covering the beans), add your chopped or blended onions</p><p>*Add your blended tomato and pepper and stir in.</p><p>*Add your salt, dry pepper and 2 cubes of maggi</p><p>*Allow to stew for an extra five minutes</p><p>*Taste your beans and if it still tastes a little too bland for you, add the extra maggi cube.</p><p>*Allow to simmer for about 3 minutes and add your palmoil.</p><p>*For an extra 2 minutes, allow the palm oil simmer and serve with Fried Plantain, Boiled Plantain, Yam, Rice, or Bread.</p>
Chicken En Papillote With Basil and Cherry Tomatoes;http://www.foodista.com/recipe/GY4BZ7SZ/chicken-en-papillote-with-basil-and-cherry-tomatoes;https://spoonacular.com/recipeImages/Chicken-En-Papillote-With-Basil-and-Cherry-Tomatoes-638071.jpg;Garnish: fresh basil chiffonade,2 leaves basil, chiffonade,4 to 5 cherry tomatoes, halved,1 garlic clove, sliced,2 tablespoons olive oil,1 small Onion quartered,salt and pepper, to taste,1 boneless chicken breast (with or skinless),2 tablespoons white wine;basil,basil,cherry tomatoes,garlic clove,olive oil,onion,salt and pepper,skinless boneless chicken breast,white wine;<ol><li>Preheat oven to 400 degrees.</li><li>Salt and pepper chicken and place on parchment sheet. Drizzle with olive oil.</li><li>Add onion, garlic, white wine, cherry tomatoes and basil. Wrap parchment tightly around contents and secure into a package with kitchen twine. Place on cookie sheet.</li><li>Place in oven for 35 to 40 minutes or until thermometer inserted into chicken reads 165 degrees. Unwrap package and serve hot, with a garnish of fresh basil chiffonade.</li></ol>
Gluten Free Almond Blueberry Coffee Cake;http://www.pinkwhen.com/gluten-free-almond-blueberry-coffee-cake/;https://spoonacular.com/recipeImages/gluten-free-almond-blueberry-coffee-cake-729532.jpg;3 tablespoons sliced almonds,3 teaspoons baking powder (without wheat starch),1½ cup frozen blueberries,¼ cup canola oil,1 large egg,2 cups gluten free all-purpose flour + 1 tablespoon,½ cup granulated sugar,½ teaspoon fine sea salt,3 tablespoons raw turbinado sugar,½ cup vanilla yogurt,½ cup whole milk,1 teaspoon xanthan gum;almonds,baking powder,blueberries,canola oil,egg,gluten free flour,granulated sugar,sea salt,turbinado sugar,vanilla yogurt,whole milk,xanthan gum;"Preheat your oven to 375 degrees F and spray a 9 springform pan with a nonstick spray. Set aside.In a large bowl, whisk together the egg, whole milk, vanilla yogurt and canola oil. Set aside.In a separate medium bowl, whisk together 2 cups of the flour, granulated sugar, baking powder, xantham gum and fine sea salt.Add the dry ingredients to the wet and mix to combine until just moistened. Do not overmix.In a small bowl, combine 1 cup of the blueberries with the remaining 1 tablespoon flour. Fold the blueberries into the batter very gently until dispersed evenly. It is OK if they bleed just a little bit.Pour the batter into the prepared pan and flatten and even out with a spatula. Top with the remaining blueberries.In a small bowl toss the turbinado sugar and almonds together. Sprinkle on top of the cake. Transfer the cake to the oven ad bake for 30-35 minutes or until a toothpick comes out with just a few crumbs. Remove from heat and let cool in the pan for 15 minutes. Release the sides and transfer the cake to a wire rack to cool the rest of the way.Enjoy immediately or cover with plastic wrap and eat within 2 days."""
Peanut Butter and Jelly Smoothie;http://www.foodista.com/recipe/K5KVRWVR/peanut-butter-and-jelly-smoothie;https://spoonacular.com/recipeImages/Peanut-Butter-and-Jelly-Smoothie-655235.jpg;1 cup almond milk or other non-dairy milk (see my almond milk recipe),2 bananas, smashed (I used frozen),1/2 cup peanut butter,� cup strawberries (about 3 strawberries) or 1 Tbsp strawberry jam;almond milk,bananas,peanut butter,strawberries;<ol><li>Place ingredients in a high speed blender like Blendtec for super smooth texture, blend on high.</li><li>If using a regular blender put milk and strawberries in then blend.</li><li>Next, add banana pieces and peanut butter, process until smooth.</li><li>Garnish with crushed peanuts and serve.</li></ol>
Pumpkin soup with wine;http://www.foodista.com/recipe/ZTMMHNGC/pumpkin-soup-with-wine;https://spoonacular.com/recipeImages/Pumpkin-soup-with-wine-657384.jpg;200g cream,Fresh sage leaves, chopped,750g Muscat pumpkin, cleaned,200g sour cream,500ml vegetable stock from 1 cube,150ml white wine;cream,fresh sage leaves,muscat,sour cream,vegetable stock cube,white wine;<ol><li>Cut the pumpkin into large chunks, and place on a parchment or foil-lined baking sheet. Drizzle with oil and roast at 200C until fork-tender and golden.</li><li>In a blender mash the roasted pumpkin until smooth. Transfer into a soup pot.</li><li>Add cream, sour cream, wine and vegetable stock, stir and combine.</li><li>Bring the soup to a boil, then immediately remove from the flame.</li><li>Sprinkle with chopped fresh sage leaves serve with croutons.</li></ol>
Pumpkin gnocchi with basil and Parmesan;http://www.foodista.com/recipe/VWGPYN7W/pumpkin-gnocchi-with-basil-and-parmesan;https://spoonacular.com/recipeImages/Pumpkin-gnocchi-with-basil-and-Parmesan-657312.jpg;250g corn flour,Fresh basil leaves for garnish,Olive oil,Parmesan,� tsp pepper,1 kg pumpkin, baked and cooled,� tsp sea salt,250g wheat flour,2 whole eggs;corn flour,fresh basil leaves,olive oil,parmesan,pepper,pumpkin,sea salt,wheat flour,whole eggs;<ol><li>Separate the meat and chop the pumpkin into a puree.</li><li>Add eggs, stir.</li><li>Add salt, pepper and chopped basil.</li><li>Add flour and knead a soft dough. If the dough is too sticky, add more flour - the amount depends on the water content of the pumpkin.</li><li>Divide the dough into equal rolls 3 cm thick and about 20 cm long.</li><li>Divide and cut each roll into a 2 cm long pieces.</li><li>Cook the gnocchi in a large pot in plenty of salted water. Gnocchi are cooked when they rise to the surface. Remove them from the pot with a slotted spoon.</li><li>Pour hot olive oil over gnocchi or simply saut them in hot oil.</li><li>Serve sprinkled with cheese and fresh basil.</li></ol>
Neiman Marcus Oatmeal Chocolate Chip Cookies;http://www.foodista.com/recipe/VHWCSR2Z/neiman-marcus-oatmeal-chocolate-chip-cookies;https://spoonacular.com/recipeImages/Neiman-Marcus-Oatmeal-Chocolate-Chip-Cookies-653005.jpg;2 teaspoons baking powder,2 teaspoons baking soda,1/2 cup brown sugar,2 cups butter,24 ounces chocolate chips,2 eggs, poached,4 cups flour,2 cups granulated sugar,5 cups blended oatmeal (measure oatmeal and blend in a blender to a fine powder),1 teaspoon salt,1 8-ounce chocolate bar, grated,2 teaspoons vanilla,3 cups chopped walnuts;baking powder,baking soda,brown sugar,butter,chocolate chips,eggs,flour,granulated sugar,oatmeal,salt,dark chocolate bar,vanilla,walnuts;<ol><li>Preheat oven to 375 degrees F.</li><li>In a large bowl, cream together the butter and both sugars, then add the eggs and vanilla.</li><li>Add the flour, oatmeal, salt, baking powder and baking soda.</li><li>Blend in the chocolate chips, grated chocolate bar, and nuts. Mix until batter is well incorporated.</li><li>Roll into balls and place two inches apart on a cookie sheet.</li><li>Bake for 10 minutes.</li></ol>
Vegetable Rice;http://www.afrolems.com/2016/02/16/vegetable-rice/;https://spoonacular.com/recipeImages/vegetable-rice-716377.jpg;1.5 Tablespoons of melted butter,1 teaspoon of Chili powder,2 cloves of garlic,1.5 teaspoons of Lemon Juice,1.5 cups of Rice,Seasoning cubes,2 cups of chopped green vegetables (Spinach or Ugwu);butter,chili powder,garlic,lemon juice,rice,seasoning cubes,stew vegetables;Wash and bring to boil your rice for about 10 minutes.Chop your green vegetables and set aside. Strain the water from the rice and reduce the heat. Add your vegetables, butter, lemon juice and chili powder.�Chop your garlic and add to the pot of rice with your seasoning cubes. Allow steaming on low heat till the rice is soft.�Serve your vegetable rice hot with any protein of your choice.�
Antipasto Squares;http://www.pinkwhen.com/antipasto-squares/;https://spoonacular.com/recipeImages/antipasto-squares-715511.jpg;3 eggs,1/2 Tsp ground black pepper,1/4 pound thinly sliced ham,3 Tbsp grated Parmesan cheese,1/4 pound thinly sliced pepperoni sausage,1/4 pound thinly sliced provolone cheese,2 (10oz) cans refrigerated crescent dinner rolls,1 (12oz) jar roasted red peppers, drained and sliced into strips,1/4 pound thinly sliced Genoa salami,1/4 pound thinly sliced swiss cheese;eggs,ground pepper,ham,parmesan cheese,pepperoni sausage,provolone cheese,refrigerated crescent dinner rolls,roasted red peppers,salami,swiss cheese;Bake for 25 minutes in the preheated oven, then remove foil and bake for an additional 10-20 (I bake the full 20) minutes, or until dough is fluffy and golden brown. Let stand for 5 minutes, then cut into squares, and serve warm or at room temperature.
Pink Lemonade Crinkle Cookies;http://www.pinkwhen.com/pink-lemonade-crinkle-cookies/;https://spoonacular.com/recipeImages/pink-lemonade-crinkle-cookies-715541.jpg;1/4 tsp Baking Powder,1/4 tsp Baking Soda,3/4 C Butter,1/2 C Cornstarch,1 Egg,1 1/2 C All-Purpose Flour,1 drop of pink food coloring (optional), 3/4 tsp Pink Lemonade Kool-Aid,1/4 C Powdered Sugar,1 1/4 C Sugar;baking powder,baking soda,butter,cornstarch,egg,flour,food coloring,pink lemonade,powdered sugar,sugar;Prepare a cookie sheet by greasing with non-stick cooking spray. Preheat oven to 350. Cream butter and sugar together in your mixer, scraping the sides of your bowl. Add your egg and mix well. Mix in baking powder, baking soda, Kool-Aid and cornstarch. Once its well mixed (the Kool-Aid will be mixed once it turns your dough pink), add a drop of pink food coloring, if more color is desired. Next, start adding your flour a half cup at a time until its all added.Roll the dough into walnut-sized balls and roll in the powder sugar, giving them a light coating. Place 2 apart on a room-temp baking sheet (let your sheet cool in between batches if you are reusing the same one).Bake in the oven 9-10 minutes, they wont brown too much, so watch them closely. Over-baking will make them hard and crunchy!
Almond Nut Butter;http://www.foodista.com/recipe/LQJQ8PPH/almond-nut-butter;https://spoonacular.com/recipeImages/Almond-Nut-Butter-632155.jpg;2 cup raw almonds,1 oz dark chocolate,1 tsp ground cinnamon,1 tbsp maple syrup,1 1/2 tsp pure vanilla extract;almonds,dark chocolate,ground cinnamon,maple syrup,vanilla extract;<ol><li>Preheat oven to 300 degrees and line a baking sheet with parchment paper.</li><li>In a large bowl, mix together the almonds and maple syrup . Spread out almond mixture onto baking sheet and bake for 15 minutes, stir and place back in oven for another 15 minutes.</li><li>Remove from oven and allow the almonds to cool.</li><li>In food processor add almonds and process until you see it form into a ball.  (NOTE:  You will have to scrape down the sides a few times, like 10.)  Add you cinnamon and vanilla extract and then process until drippy.  The whole process takes about 10  15 minutes.   When your right at the end I add the chocolate and process until all melted in, about 1 more minute.</li><li>Makes about 16 Tablespoons or a smidge over 1 cup</li><li>Calories per Tablespoon:  92,  Fat:  7.4,  Sodium:  30,  Potassium:  3.3,  Carbs:  4.7,  Fiber:  1.7,  Sugar:  1.8,  Protein:  3.1</li></ol>
Summer Tomato and Lime Rice Salad;http://pickfreshfoods.com/2013/06/19/summer-tomato-and-lime-rice-salad/;https://spoonacular.com/recipeImages/summer-tomato-and-lime-rice-salad-715759.jpg;5 oz red cherry tomatoes,1 Tbsp fresh basil, sliced thinly,1 tbsp fresh lime juice,� cup extra-virgin olive oil,1 pkg Tasty Bite Thai Lime Rice, tsp Splenda,5 oz yellow cherry tomatoes;cherry tomatoes,fresh basil,lime juice,olive oil,rice,splenda,yellow cherry tomatoes;Heat rice according to package directions. Place heated rice in a medium serving bowl.Rinse and slice tomatoes in half. Add tomatoes to rice.In a small bowl whisk together olive oil, lime juice and splenda. Pour over tomatoes and toss to coat.Top with sliced basil and serve.
